                                               name           chain  count          mean   min    max   q10   q25  median    q75    q90
0                                      build_header   injective-888     22     10.590909     8     13     9    10      10     11     12
1                                      build_header  xion-testnet-1     19     11.894737     9     16    10    11      11     13     15
2                                 chain_grpc_status   injective-888     23      2.478261     1      4     1     2       3      3      3
3                                 chain_grpc_status  xion-testnet-1     20      2.550000     1      6     1     2       2      3      3
4                                  chain_rpc_status   injective-888     23      0.086957     0      1     0     0       0      0      0
5                                  chain_rpc_status  xion-testnet-1     20      0.000000     0      0     0     0       0      0      0
6                                      chain_status   injective-888     23      3.304348     2      5     2     3       3      4      4
7                                      chain_status  xion-testnet-1     20      2.950000     2      6     2     2       3      3      3
8                                counterparty_state            null    279   7071.960573     0  14230     2   592   10295  10461  10552
9                              estimate_gas_with_tx   injective-888     19      7.736842     3     19     5     6       7      9     11
10                             estimate_gas_with_tx  xion-testnet-1     22      4.772727     3      7     3     4       4      6      7
11                                  fetch_node_info   injective-888      1      0.000000     0      0     0     0       0      0      0
12                                  fetch_node_info  xion-testnet-1      1      0.000000     0      0     0     0       0      0      0
13                               historical_entries   injective-888      1      2.000000     2      2     2     2       2      2      2
14                               historical_entries  xion-testnet-1      1      2.000000     2      2     2     2       2      2      2
15                                init_event_source   injective-888      1      0.000000     0      0     0     0       0      0      0
16                                init_event_source  xion-testnet-1      1      0.000000     0      0     0     0       0      0      0
17                                    min_gas_price   injective-888      1      0.000000     0      0     0     0       0      0      0
18                                    min_gas_price  xion-testnet-1      1      2.000000     2      2     2     2       2      2      2
19                                            query   injective-888   6588      1.462811     0   1542     0     0       0      0      0
20                                            query  xion-testnet-1   6916      0.660353     0    747     0     0       0      0      0
21                         query_application_status   injective-888    107      5.906542     0     80     0     0       0      1     15
22                         query_application_status  xion-testnet-1    664     11.673193     0    597     0     0       0      1      5
23                                    query_channel   injective-888   5962      1.008219     0    495     0     0       0      0      0
24                                    query_channel  xion-testnet-1   6736      0.648456     0    747     0     0       0      0      0
25                         query_client_connections   injective-888     21      2.571429     1      4     2     2       2      3      4
26                         query_client_connections  xion-testnet-1     24      2.125000     1      3     1     2       2      3      3
27                               query_client_state   injective-888    194      8.917526     0    902     0     0       0      0      1
28                               query_client_state  xion-testnet-1    114      1.894737     0    118     0     0       0      0      1
29                                    query_clients   injective-888      1   2441.000000  2441   2441  2441  2441    2441   2441   2441
30                                    query_clients  xion-testnet-1      1    353.000000   353    353   353   353     353    353    353
31                              query_config_params   injective-888      1      0.000000     0      0     0     0       0      0      0
32                              query_config_params  xion-testnet-1      1      2.000000     2      2     2     2       2      2      2
33                                 query_connection   injective-888     20      2.250000     0      4     0     2       2      3      3
34                                 query_connection  xion-testnet-1     20      1.950000     0      5     0     1       2      3      3
35                        query_connection_channels   injective-888    555     65.821622    27    264    52    54      58     69     87
36                        query_connection_channels  xion-testnet-1     19     24.105263    19     38    20    20      22     27     34
37                            query_consensus_state   injective-888    432      4.474537     0   1542     0     0       0      0      0
38                            query_consensus_state  xion-testnet-1     66      0.257576     0      7     0     0       0      0      1
39                              query_latest_height   injective-888      1      1.000000     1      1     1     1       1      1      1
40                              query_latest_height  xion-testnet-1      1      0.000000     0      0     0     0       0      0      0
41                         query_packet_commitments   injective-888      1      3.000000     3      3     3     3       3      3      3
42                             query_staking_params   injective-888      2      2.000000     2      2     2     2       2      2      2
43                             query_staking_params  xion-testnet-1      2      2.000000     2      2     2     2       2      2      2
44                               restore_from_event   injective-888     48      0.000000     0      0     0     0       0      0      0
45                               restore_from_event  xion-testnet-1     23      0.000000     0      0     0     0       0      0      0
46                               restore_from_state   injective-888     11   6947.090909  6945   6949  6945  6946    6947   6948   6949
47                               restore_from_state  xion-testnet-1    197   4652.111675     2  10581    22  1421    4623   7607   9472
48                    send_messages_and_wait_commit   injective-888     19   1726.526316  1220   3025  1220  1241    1524   1819   2721
49                    send_messages_and_wait_commit  xion-testnet-1     22   1236.954545     4   6029     4     4       5   3017   4220
50              send_tx_with_account_sequence_retry   injective-888     19     15.000000     9     37     9    11      14     17     20
51              send_tx_with_account_sequence_retry  xion-testnet-1     22      5.863636     3     11     3     4       4      9     10
52                                       step_event            null     71   2793.830986     0   8005     1    52    2679   4841   6474
53                                       step_state            null    279  13639.448029     0  21837  1038  7899   15848  18669  21460
54                                 unbonding_period   injective-888      1      2.000000     2      2     2     2       2      2      2
55                                 unbonding_period  xion-testnet-1      1      2.000000     2      2     2     2       2      2      2
56        wait_and_build_update_client_with_trusted   injective-888     33   2152.212121   217   5035   285   597     694   4333   4841
57        wait_and_build_update_client_with_trusted  xion-testnet-1    216   6701.189815   920  21209  2768  4573    6548   7706   9640
58  wait_and_build_update_client_with_trusted_sleep   injective-888     33    488.090909   200    852   200   307     517    582    700
59  wait_and_build_update_client_with_trusted_sleep  xion-testnet-1    216    857.078704     0   6549     0     0       0      0   4759
60                           wait_for_block_commits   injective-888     19   1710.684211  1203   3009  1203  1204    1507   1807   2706
61                           wait_for_block_commits  xion-testnet-1      7   3866.857143  2406   6016  2406  3008    3609   4510   6016
62                 wait_for_header_validation_delay   injective-888     22      0.454545     0      2     0     0       0      1      1
63                 wait_for_header_validation_delay  xion-testnet-1     19      6.000000     0     62     0     0       1      1     34
